ref	pos	strand	u	d	ur	pval	passed
1	631436	+	5	12	0.4166666666666667	2.432612959825641e-10	true
1	924456	+	0	21	0.0	1.0	false
1	930244	+	1	28	0.03571428571428571	0.08469148237091603	false
1	941220	+	1	20	0.05	0.06125374596459475	false
1	944394	-	1	45	0.022222222222222223	0.13257189714178613	false
1	944475	+	84	196	0.42857142857142855	4.570966907217755e-154	true
1	961711	+	2	22	0.09090909090909091	0.002205497964979147	false
1	963185	+	0	26	0.0	1.0	false
1	963349	+	0	25	0.0	1.0	false
1	964371	+	2	43	0.046511627906976744	0.008251430732890613	false
1	999131	-	8	155	0.05161290322580645	4.47811364243733e-8	true
1	999142	-	6	157	0.03821656050955414	0.000012406825887335916	true
1	1000057	-	3	106	0.02830188679245283	0.00475847872605527	false
1	1014332	+	41	348	0.11781609195402298	4.628611202894118e-50	true
1	1022389	+	3	73	0.0410958904109589	0.0016570613971624204	false
1	1041623	+	3	152	0.019736842105263157	0.012720014990939433	false
1	1046450	+	7	98	0.07142857142857142	3.352743799536842e-8	true
1	1048884	+	20	104	0.19230769230769232	9.50435210529387e-30	true
1	1050461	+	3	146	0.02054794520547945	0.01142051618763197	false
1	1055549	+	37	309	0.11974110032362459	1.3081934593089999e-45	true
1	1087524	-	1	45	0.022222222222222223	0.13257189714178613	false
1	1228916	-	1	70	0.014285714285714285	0.1984718869516557	false
1	1231569	-	8	73	0.1095890410958904	1.1011031924176171e-10	true
1	1232881	+	0	57	0.0	1.0	false
1	1273620	-	0	16	0.0	1.0	false
1	1292919	-	1	21	0.047619047619047616	0.06421597308173534	false
1	1293149	-	1	32	0.03125	0.09618998950452864	false
1	1293649	-	3	53	0.05660377358490566	0.0006541209761825575	true
1	1297875	-	3	104	0.028846153846153848	0.004512679425439053	false
1	1308895	+	3	22	0.13636363636363635	0.00004626018981845731	true
1	1314332	-	24	133	0.18045112781954886	1.1330840815838955e-34	true
1	1328102	+	1	61	0.01639344262295082	0.1753454455170778	false
1	1328225	+	2	69	0.028985507246376812	0.020310930215131254	false
1	1335923	-	3	92	0.03260869565217391	0.003200328597451467	false
1	1336099	-	2	66	0.030303030303030304	0.018686379647145732	false
1	1336148	-	7	172	0.040697674418604654	1.544044645100945e-6	true
1	1336315	-	17	94	0.18085106382978725	5.102817194655539e-25	true
1	1342389	-	11	71	0.15492957746478872	6.647639078761561e-16	true
1	1349093	-	3	64	0.046875	0.0011337087456447126	false
