ref	pos	strand	u	d	ur	pval	passed
1	631436	+	2	6	0.3333333333333333	0.00014460709106029634	false
1	924456	+	3	20	0.15	0.00003320544093303522	true
1	930244	+	0	18	0.0	1.0	false
1	941220	+	0	20	0.0	1.0	false
1	944394	-	0	43	0.0	1.0	false
1	944475	+	77	158	0.4873417721518987	1.8250125079357852e-147	true
1	961711	+	0	24	0.0	1.0	false
1	963185	+	0	27	0.0	1.0	false
1	963349	+	1	28	0.03571428571428571	0.08372275123199568	false
1	964371	+	0	30	0.0	1.0	false
1	999131	-	5	108	0.046296296296296294	0.00002514828827675197	true
1	999142	-	6	114	0.05263157894736842	1.8365886278754395e-6	true
1	1000057	-	3	77	0.03896103896103896	0.0018662846640227204	false
1	1014332	+	31	247	0.12550607287449392	2.6973667639998118e-39	true
1	1022389	+	0	90	0.0	1.0	false
1	1041623	+	3	114	0.02631578947368421	0.005633116122340837	false
1	1046450	+	8	78	0.10256410256410256	1.7245009441326716e-10	true
1	1048884	+	12	80	0.15	4.179604087240429e-17	true
1	1050461	+	6	98	0.061224489795918366	7.564161299036644e-7	true
1	1055549	+	17	196	0.08673469387755102	1.8775624013190306e-19	true
1	1087524	-	1	52	0.019230769230769232	0.14988332604635704	false
1	1228916	-	0	58	0.0	1.0	false
1	1231569	-	7	69	0.10144927536231885	2.6092180424984603e-9	true
1	1232881	+	2	45	0.044444444444444446	0.008804477932148414	false
1	1273620	-	1	15	0.06666666666666667	0.04576076441305178	false
1	1292919	-	1	17	0.058823529411764705	0.051701845275437384	false
1	1293149	-	0	24	0.0	1.0	false
1	1293649	-	0	22	0.0	1.0	false
1	1297875	-	2	78	0.02564102564102564	0.02496131189607091	false
1	1308895	+	0	9	0.0	1.0	false
1	1314332	-	11	66	0.16666666666666666	2.4838372838078556e-16	true
1	1328102	+	1	48	0.020833333333333332	0.1391980096189916	false
1	1328225	+	1	42	0.023809523809523808	0.12291768403509835	false
1	1335923	-	2	73	0.0273972602739726	0.02206827890607735	false
1	1336099	-	2	58	0.034482758620689655	0.014313482805339119	false
1	1336148	-	6	128	0.046875	3.5985375023458285e-6	true
1	1336315	-	12	94	0.1276595744680851	3.1820966401322855e-16	true
1	1342389	-	8	53	0.1509433962264151	6.986213727061664e-12	true
1	1349093	-	0	41	0.0	1.0	false
1	1374491	-	0	25	0.0	1.0	false
