ref	pos	strand	u	d	ur	pval	passed
1	631436	+	1	17	0.058823529411764705	0.05282331478746467	false
1	924456	+	1	19	0.05263157894736842	0.05885145377144564	false
1	930244	+	2	33	0.06060606060606061	0.005022748290172466	false
1	941220	+	2	24	0.08333333333333333	0.0026759174599579956	false
1	944394	-	2	48	0.041666666666666664	0.01039683756530819	false
1	944475	+	109	224	0.48660714285714285	6.86349531353206e-207	true
1	961711	+	1	40	0.025	0.11987668098322397	false
1	963185	+	4	23	0.17391304347826086	8.705661549645262e-7	true
1	963349	+	2	33	0.06060606060606061	0.005022748290172466	false
1	964371	+	1	42	0.023809523809523808	0.12547807064251995	false
1	999131	-	10	159	0.06289308176100629	1.4979435115188938e-10	true
1	999142	-	6	172	0.03488372093023256	0.000021967341263900648	true
1	1000057	-	1	98	0.01020408163265306	0.2686392602298311	false
1	1014332	+	49	334	0.1467065868263473	3.5532085370195306e-64	true
1	1022389	+	2	79	0.02531645569620253	0.026614481054757964	false
1	1041623	+	4	160	0.025	0.001828199667879118	false
1	1046450	+	4	112	0.03571428571428571	0.00048725628802548957	true
1	1048884	+	14	128	0.109375	1.38271487495572e-17	true
1	1050461	+	3	135	0.022222222222222223	0.009498480478854961	false
1	1055549	+	41	254	0.16141732283464566	8.758061302489016e-56	true
1	1087524	-	2	48	0.041666666666666664	0.01039683756530819	false
1	1228916	-	3	61	0.04918032786885246	0.0010148906932535518	false
1	1231569	-	9	76	0.11842105263157894	3.989709370563801e-12	true
1	1232881	+	1	48	0.020833333333333332	0.1420692513647102	false
1	1273620	-	2	17	0.11764705882352941	0.0013382519683829768	false
1	1292919	-	1	18	0.05555555555555555	0.05584219522933631	false
1	1293149	-	2	34	0.058823529411764705	0.005325424711919862	false
1	1293649	-	0	37	0.0	1.0	false
1	1297875	-	2	114	0.017543859649122806	0.0517455188269169	false
1	1308895	+	0	16	0.0	1.0	false
1	1314332	-	26	112	0.23214285714285715	1.9034356047880428e-40	true
1	1328102	+	2	86	0.023255813953488372	0.03111625395434415	false
1	1328225	+	1	73	0.0136986301369863	0.2078782498924295	false
1	1335923	-	1	86	0.011627906976744186	0.2400787572829436	false
1	1336099	-	0	68	0.0	1.0	false
1	1336148	-	6	170	0.03529411764705882	0.000020568273870369312	true
1	1336315	-	20	105	0.19047619047619047	1.4261458241561184e-29	true
1	1342389	-	11	77	0.14285714285714285	1.899502354313019e-15	true
1	1349093	-	4	69	0.057971014492753624	0.00007561423676351748	true
1	1374491	-	1	28	0.03571428571428571	0.08550682315587835	false
1	1390294	-	1	54	0.018518518518518517	0.15834566893629695	false
1	1391358	-	0	45	0.0	1.0	false
1	1391490	-	0	45	0.0	1.0	false
1	1391842	-	2	23	0.08695652173913043	0.002458118096947806	false
1	1496199	+	1	42	0.023809523809523808	0.12547807064251995	false
1	1534592	+	1	51	0.0196078431372549	0.15024642963879414	false
1	1541674	-	4	138	0.028985507246376812	0.0010627331685363409	false
1	1598647	-	2	31	0.06451612903225806	0.00444215185067358	false
1	1599289	-	2	60	0.03333333333333333	0.01590866604252725	false
1	1599638	-	6	79	0.0759493670886076	2.387407798279232e-7	true
1	1599672	-	1	58	0.017241379310344827	0.1690246991896502	false
1	1599903	-	1	41	0.024390243902439025	0.12268184618175153	false
1	1616557	+	3	48	0.0625	0.0005030180051706317	true
1	1626909	+	1	47	0.02127659574468085	0.13932607607722264	false
1	1626925	+	0	39	0.0	1.0	false
1	1627738	+	1	20	0.05	0.06185112108110686	false
1	1629136	+	1	24	0.041666666666666664	0.07375448792704543	false
1	1665184	-	1	54	0.018518518518518517	0.15834566893629695	false
1	1665190	-	0	48	0.0	1.0	false
1	1752446	-	1	80	0.0125	0.2253829433228943	false
1	1754097	-	0	61	0.0	1.0	false
1	1778329	-	4	78	0.05128205128205128	0.00012195029334563634	true
1	1786944	-	3	79	0.0379746835443038	0.0021369382700839757	false
1	2050483	+	2	5	0.4	0.00010093905154923075	false
1	2050554	+	0	16	0.0	1.0	false
1	2050585	+	13	20	0.65	2.659484209170369e-28	true
1	2189610	-	1	32	0.03125	0.09711004307831507	false
1	2193835	-	6	123	0.04878048780487805	3.238036805139154e-6	true
1	2303939	+	0	34	0.0	1.0	false
1	2307843	+	0	56	0.0	1.0	false
1	2403890	+	1	52	0.019230769230769232	0.15295479912679358	false
1	2404977	+	1	39	0.02564102564102564	0.11706254645953564	false
1	2404994	+	1	33	0.030303030303030304	0.09998777104044453	false
1	2408700	-	3	88	0.03409090909090909	0.002903003753898832	false
1	3474759	+	2	61	0.03278688524590164	0.016413539783180605	false
1	3625114	+	2	29	0.06896551724137931	0.0038949369584805574	false
1	3631035	-	1	49	0.02040816326530612	0.14480368349122966	false
1	3631460	-	0	28	0.0	1.0	false
1	3635016	-	1	85	0.011764705882352941	0.2376489607326111	false
1	3647468	-	5	77	0.06493506493506493	5.368817873148106e-6	true
1	3647495	-	2	45	0.044444444444444446	0.00918260530819497	false
1	3650045	-	1	17	0.058823529411764705	0.05282331478746467	false
1	3815234	-	1	43	0.023255813953488372	0.1282653828618159	false
1	3823425	-	2	72	0.027777777777777776	0.022404020888909113	false
1	3839645	-	3	54	0.05555555555555555	0.0007111663156003547	true
1	3884219	+	4	8	0.5	7.150284251454707e-9	false
1	3884220	+	4	8	0.5	7.150284251454707e-9	false
1	5863076	-	1	20	0.05	0.06185112108110686	false
1	5865230	-	1	8	0.125	0.025215296427185344	false
1	6099974	+	13	118	0.11016949152542373	1.7854300614418253e-16	true
1	6221386	-	18	159	0.11320754716981132	1.8241701870100035e-22	true
1	6581230	+	2	54	0.037037037037037035	0.013024511344399355	false
1	6587523	+	0	51	0.0	1.0	false
1	6591244	-	1	86	0.011627906976744186	0.2400787572829436	false
1	6592052	-	1	41	0.024390243902439025	0.12268184618175153	false
1	6592054	-	0	40	0.0	1.0	false
1	6614086	+	1	21	0.047619047619047616	0.06484122772789003	false
1	7961763	+	2	74	0.02702702702702703	0.023576392138790238	false
1	8878997	-	0	46	0.0	1.0	false
1	9595968	+	3	83	0.03614457831325301	0.0024595266248132186	false
1	9602792	+	1	40	0.025	0.11987668098322397	false
1	9603434	+	0	24	0.0	1.0	false
